Name,Description,FKBP5,Kallikrein2,ZBTB10,BM039,TMEPAI,NKX3-1,KLK3,EAF2,MED28,ABCC4,SARG,GNMT,MPHOSPH9,NNMT,TNK1,MGC4504,MAN1A1,GLRA2,CD200,SRP72,MAF,ACSL3,HERC3,PTGER4,,Class
unstimulatedA_500A_A02,unstimulated,131,120,123,103,98,1113,613,40,46.5,291,30.5,85,117,151,556.5,3708,108,227,258,237,107,73,338,71,,0
unstimulatedA_500A_C02,unstimulated,134,88,87,144,103,845,1027,71,65,225,55,71,111,120,197.5,3908,100,125.5,203,141,205.5,100.5,299,68,,0
unstimulatedA_500A_E02,unstimulated,64,114,88,93,69,513,695,36,28.5,200,42,29,103,79,65,3889,77,74,152,114.5,140,75.5,197,72,,0
unstimulatedA_500A_G02,unstimulated,163,94,111,134,92.5,895.5,743,65,73.5,169,58,63,114,129.5,200,4084,90.5,185.5,268,293,138,73,276,84,,0
unstimulatedA_500A_I02,unstimulated,83,62,65,77,61.5,388.5,401,38,50.5,135,49,37,78,71.5,67.5,3502,75,93,75,123,105,85.5,157.5,50.5,,0
unstimulatedA_500A_K02,unstimulated,110.5,55.5,68,90,63,345,493,50,47.5,82,42,46,53,78.5,71,4416,77,61.5,77,102,70,62,130,50,,0
unstimulatedA_500A_M02,unstimulated,70.5,59,62.5,65,53,444,234,61,35.5,116,44,30,87,64,89.5,3801.5,65,73,130.5,127,83,50,121,69,,0
unstimulatedA_500A_O02,unstimulated,130,50,100.5,70,80,749,431.5,38.5,45,109.5,46.5,69,79,87,189.5,4123,74,129.5,229,193,97,55,147.5,80,,0
unstimulatedA_500B_A02,unstimulated,305,394,298,269,245,2162,1690,95,108,702.5,131,119,267.5,262,1118,4314,139,764,935,434,424,173.5,899.5,209,,0
unstimulatedA_500B_C02,unstimulated,255,234,233.5,237,215,1952.5,1273,108,110,375.5,96.5,107,198,238.5,848,4596,144,584,611,410,329.5,134,444,151,,0
unstimulatedA_500B_E02,unstimulated,203.5,225,164.5,273,124,1369,1285,100,35,561,75,72,161,177,546,4303,139,298,367.5,420,486.5,140,637,116,,0
unstimulatedA_500B_G02,unstimulated,113.5,87,87,147,90,744,867,65,65,227.5,38,66,89.5,120.5,107.5,5083,136,62,155,190,178,86.5,353,61,,0
unstimulatedA_500B_I02,unstimulated,155.5,135,111,118,85,963,561,77,78,236,48.5,71,94.5,140.5,382,4341,124,214,268,302.5,160,75,313.5,120,,0
unstimulatedA_500B_K02,unstimulated,104,83,79,80,72,986.5,329,69,33,142.5,88,58,97,122,394,4858,131,170,198,194,87.5,70,244,71,,0
unstimulatedA_500B_M02,unstimulated,146,94.5,119,110,79,1264,348,63,35,192,54,55.5,99,125.5,513.5,4337,101,304,296,275,104,66,202.5,84,,0
unstimulatedA_500B_O02,unstimulated,210,104.5,118,93,89.5,1499,248,72.5,51.5,149.5,74,57,93,172,734,4703,110,416,495.5,435.5,95,59.5,261,132.5,,0
unstimulatedA_500C_A02,unstimulated,354,308,348.5,304,258.5,2464,1560,105,108,740,139,117,330,347,1020,4461.5,170,923,1037,573,524.5,234,908.5,344,,0
unstimulatedA_500C_C02,unstimulated,400,233,261,323,198.5,1991,1349,165,126,456,166,140,233,333,545,5011.5,196,539,657,489,366,253.5,690,211,,0
unstimulatedA_500C_E02,unstimulated,229.5,200,156,269,90,1248,1143,99,78,542,87,103,166,190,350.5,4486,146,276,352.5,432,386,165.5,507,134,,0
unstimulatedA_500C_G02,unstimulated,183.5,113,125,204,99,806,952,84,64,317.5,88,94,110,194,203,5261.5,163,168,219,428,251.5,129,424.5,94,,0
unstimulatedA_500C_I02,unstimulated,257,180.5,213.5,200,95,1105,849,103,53,380,56,72.5,154,224,363,4591,146.5,319,347,559,176.5,119,428,153,,0
unstimulatedA_500C_K02,unstimulated,393.5,448.5,357.5,413,364,2628,1575,240,265.5,610.5,146,193.5,510,372,983,4156.5,329,1023,954,532,578,346,693,310,,0
unstimulatedA_500C_M02,unstimulated,269,208,195,178.5,148,1860.5,990.5,77,82.5,388,84,79.5,197,234,625,4452,151,587,573,446,182,130.5,423,170,,0
unstimulatedA_500C_O02,unstimulated,277,147.5,230,163,148.5,1937.5,831,69.5,75,275.5,105,116,158,295.5,321,4937,196,634,861,669,140.5,135,381.5,227,,0
unstimulatedA_501A_A02,unstimulated,449,725,510,217,541,2898,1291,118,140.5,594,214.5,243,302,322,2175,11363.5,165,1184,1538,711,327,212,729,387,,0
unstimulatedA_501A_C02,unstimulated,409.5,615,364.5,280,386.5,2367,1012,117,131,495.5,170.5,174,221.5,211.5,1832.5,11286,147,1006,1325,625,300,184,569,278.5,,0
unstimulatedA_501A_E02,unstimulated,269.5,326,199,245,292,2343,1328,96,87,491,118,122.5,232,171,1727,11462,106.5,837,857,480,422,188,607,137,,0
unstimulatedA_501A_G02,unstimulated,330.5,695.5,493.5,360,452,2689.5,1642.5,123,117,674,165,188.5,282,278,1531,12176.5,169,993,1238,655,543,218.5,792,244,,0
unstimulatedA_501A_I02,unstimulated,243,359,186,164,259,2556.5,1059,91.5,95,391,109,158.5,181,205,1903.5,11653,129,976,1276.5,570.5,212.5,132.5,421,182,,0
unstimulatedA_501A_K02,unstimulated,191,223,116,171.5,183.5,1976,939,75,69,341,95,117.5,124.5,139,1045,11563,92.5,354.5,533,298,236.5,107.5,376,130,,0
unstimulatedA_501A_M02,unstimulated,279.5,427,237,175,265.5,2669,972.5,80,96,362,113,157,187,210.5,1825,11008,125,1081.5,1456.5,602.5,209,124,368,236.5,,0
unstimulatedA_501A_O02,unstimulated,391,603.5,254,197.5,290,2739,1081,98,77,532,125,236,236,183,1768,11725,134,1250,1648,631.5,230,140,404,263,,0
unstimulatedA_501B_A02,unstimulated,202,240,164.5,117,164,1715,996.5,65,73,264.5,57,95,127.5,153,797,7797.5,97.5,479,671,297,177.5,93,279,114,,0
unstimulatedA_501B_C02,unstimulated,118,200,138,150,132,1346,511,54,68.5,201.5,52,69,104,113,703.5,8175,74,494,608,495,153.5,76,194,132,,0
unstimulatedA_501B_E02,unstimulated,171,151,137,116,103,1167,946,61,43.5,169,60.5,80,83,117.5,599,8304,71.5,274,357,370,147.5,92,224.5,77,,0
unstimulatedA_501B_G02,unstimulated,146,116.5,91.5,103,85,856,536,64,53,150.5,71.5,73,89,114.5,241,8404,68.5,220.5,281,386,147,84,173,82,,0
unstimulatedA_501B_I02,unstimulated,135,53.5,148.5,111,76,1018,220,68,56,120,58,84,73,101.5,424,8188,70,317.5,376,517,61,59,107.5,99,,0
unstimulatedA_501B_K02,unstimulated,122,71,62,66,58.5,659,121.5,65,47.5,72,54,48,51,82,241,8215.5,59,148,191,325,64,55.5,85,89,,0
unstimulatedA_501B_M02,unstimulated,74,92,63.5,72,72,1162.5,277.5,59,60,121,44.5,66.5,48,67.5,485.5,8271.5,69,325,380.5,246,70,66,109,84,,0
unstimulatedA_501B_O02,unstimulated,113,172,140.5,133,124,1125,1013,65,63,213,59,89,81,85,461,8288,58,308.5,411,332,225.5,102.5,314,116,,0
